Médicos
Cédula,nombre,codigo
101,Juan Pérez,1
102,María García,2
103,Carlos López,3
104,Laura Martínez,4
105,Ana Ruiz,5

Pacientes
Cédula,nombre,edad,medico_asignado
1234567890,Pedro Pérez,40,1
2345678901,María López,35,2
3456789012,Juan Martínez,50,3
4567890123,Ana García,28,4
5678901234,Luisa Rodríguez,45,5

Resultados de Pruebas
Cédula del Paciente,Gripa,Fiebre
1234567890,Positivo,Positivo
2345678901,Negativo,Negativo
3456789012,Positivo,Positivo
4567890123,Negativo,Positivo
5678901234,Positivo,Negativo
